DESTINATION,DESTINATION CODE,EFFECTIVE DATE,RATES (US$),STATUS,BILLING INCREMENT,DELETION DATE
Albania - AMC,35536090,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536290,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536340,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536380,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536440,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536480,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536540,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536580,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536640,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536670,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536740,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536770,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536840,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536890,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536923,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35536993,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537140,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537141,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537223,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537263,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537283,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537293,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537340,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537370,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537393,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537450,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537490,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537494,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537523,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537563,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537590,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537623,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537680,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537740,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537773,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537790,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537823,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537843,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537853,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537870,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35537890,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538151,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538152,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538241,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538350,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538423,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538470,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538523,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538593,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538623,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538650,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538680,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538693,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538725,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538790,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538850,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538923,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538940,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35538980,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539150,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539151,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539240,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539241,07-Jun-17,0.1285,Same, 1/1,
Albania - AMC,35539360,07-Jun-17,0.1285,Same, 1/1,
