Alcazar Networks International Rate Deck,,
International Conversational Traffic - NOT DIALER,,
Effective Date: 11/23/2015 12:00AM EST,,
All calls billed by DNIS,,
Billing Interval: interval1 first increment in seconds, interval2 all other increments in seconds
,,
dest description,destination,rate,bill interval 1,bill interval 2
"Aruba Cellular-Digicel","297641",0.24906,1,1
"Aruba Cellular-Digicel","29773",0.24906,1,1
"Aruba Cellular-Digicel","29774",0.24906,1,1
"Ascension Island","247",1.68000,1,1
"Ascension Island Cellular","2474",1.61700,1,1
"Australia","61",0.02520,1,1
"Australia Cellular","614",0.04760,1,1
"Australia Cellular-Optus","61401",0.04760,1,1
"Australia Cellular-Optus","61402",0.04760,1,1
"Australia Cellular-Optus","61403",0.04760,1,1
"Australia Cellular-Optus","61411",0.04760,1,1
"Australia Cellular-Optus","61412",0.04760,1,1
"Australia Cellular-Optus","61413",0.04760,1,1
"Australia Cellular-Optus","61421",0.04760,1,1
"Australia Cellular-Optus","61422",0.04760,1,1
"Australia Cellular-Optus","61423",0.04760,1,1
"Australia Cellular-Optus","61431",0.04760,1,1
"Australia Cellular-Optus","61432",0.04760,1,1
"Australia Cellular-Optus","61434",0.04760,1,1
"Australia Cellular-Optus","61435",0.04760,1,1
"Australia Cellular-Optus","61466",0.04760,1,1
"Australia Cellular-Optus","614683",0.04760,1,1
"Australia Cellular-Optus","614684",0.04760,1,1
"Australia Cellular-Optus","614685",0.04760,1,1
"Australia Cellular-Optus","614686",0.04760,1,1
"Australia Cellular-Optus","614687",0.04760,1,1
"Australia Cellular-Optus","614688",0.04760,1,1
"Australia Cellular-Optus","614689",0.04760,1,1
"Australia Cellular-Optus","61478",0.04760,1,1
"Australia Cellular-Optus","614790",0.04760,1,1
"Australia Cellular-Optus","614791",0.04760,1,1
"Australia Cellular-Optus","61481",0.04760,1,1
"Australia Cellular-Optus","61482",0.04760,1,1
"Australia Cellular-Satellite","611",0.04900,1,1
"Australia, Satellite Premium 1","6114331",14.70000,1,1
"Australia,Adelaide","6187",0.01680,1,1
"Australia,Adelaide","61881",0.01680,1,1
